"user","node","ts","ds","model","acc","auc","cor","str","user.1","elapsed"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zedoul","Seonghyuns-MacBook-Air.local",2015-03-28 17:28:51,"weather","rpart",0.8182,0.7872,NA,NA,0.34,0.37
"zedoul","Seonghyuns-MacBook-Air.local",2015-03-28 17:28:51,"weather","rpart",0.8182,0.686,NA,NA,0.05,0.05
"zedoul","Seonghyuns-MacBook-Air.local",2015-03-28 17:28:51,"weather","rpart",0.8273,0.7916,NA,NA,0.04,0.04
"zedoul","Seonghyuns-MacBook-Air.local",2015-03-28 17:28:51,"weather","rpart",0.7818,0.6259,NA,NA,0.04,0.04
"zedoul","Seonghyuns-MacBook-Air.local",2015-03-28 17:28:51,"weather","rpart",0.8364,0.667,NA,NA,0.04,0.05
"zedoul","Seonghyuns-MacBook-Air.local",2015-03-28 17:28:51,"weather","rpart",0.8182,0.7493,NA,NA,0.04,0.04
"zedoul","Seonghyuns-MacBook-Air.local",2015-03-28 17:28:51,"weather","rpart",0.8091,0.7366,NA,NA,0.13,0.13
"zedoul","Seonghyuns-MacBook-Air.local",2015-03-28 17:28:51,"weather","rpart",0.8273,0.8661,NA,NA,0.03,0.03
"zedoul","Seonghyuns-MacBook-Air.local",2015-03-28 17:28:51,"weather","rpart",0.8091,0.6295,NA,NA,0.03,0.04
"zedoul","Seonghyuns-MacBook-Air.local",2015-03-28 17:28:51,"weather","rpart",0.8,0.7008,NA,NA,0.03,0.04
"zedoul","Seonghyuns-MacBook-Air.local",2015-03-28 17:28:51,"weather","randomForest",0.8182,0.9178,NA,NA,0.36,0.37
"zedoul","Seonghyuns-MacBook-Air.local",2015-03-28 17:28:52,"weather","randomForest",0.8273,0.9467,NA,NA,0.38,0.39
"zedoul","Seonghyuns-MacBook-Air.local",2015-03-28 17:28:52,"weather","randomForest",0.7909,0.9151,NA,NA,0.27,0.28
